name,location,price
"residential 2 storey house ""𝐅𝐎𝐑 𝐒𝐀𝐋𝐄"" at bhaktapur, nearby changunarayan municipality office.","bansbari, bhaktapur (on the way of nagarkot road),bansbari, bhaktapur (on the way of nagarkot road),kathmandu",13500000.0
"residential 3.5 storey newly built house ""𝐅𝐎𝐑 𝐒𝐀𝐋𝐄"" at tokha, surya darshan height.","surya darshan height, nearby angels paradise school (just behind of grande tower),surya darshan height, nearby angels paradise school (just behind of grande tower),kathmandu",29500000.0
"for residential purpose 1storied house with 5 aana land ""𝐅𝐎𝐑 𝐒𝐀𝐋𝐄"" at satdobato, behind of civil hom...","satdobato, bodhigram, bafal-15, just 600 meters from anfa football ground, behind civil homes khumaltar,satdobato, bodhigram, bafal-15, just 600 meters from anfa football ground, behind civil homes khumaltar,kathmandu",27500000.0
"2 storey residential house built on 5 aana, located at nearby shemrock school, gongabu chowk is for...","gongabu chowk,nearby shemrock school, gongabu chowk (220 meter from ringroad),kathmandu",37000000.0
"residential 3.5 storey house built on 6 aana 3 paisa on sale at lamathumki, sitapaila.","lamathumki, sitapaila.,lamathumki, sitapaila.,kathmandu",38000000.0
"full-furnished residential house on sale at basundhara, sundarnagar.","basundhara, sundarnagar,basundhara (250 m inside from ring road),kathmandu",67000000.0
"dhumbarahi 8 bhk residential house on sale at one of the prime location of valley, dhumbarahi, just...","dhumbarahi,dhumbarahi, just behind of akama hotel and dhumbarahi tarkari bazaar,kathmandu",59500000.0
"beautiful 3.5 storey house built in 4 anna 3 paisa land is ""for sale"" at surya darshan height, tokha...","surya darshan height, tokha municipality-03,surya darshan height, ward no. 3, tokha municipality, kathmandu (located just behind grande hospital),kathmandu",36000000.0
"residential 3 storied house built in 4 aana 2 paisa for sale at gurjudhara, matatirtha-6","gurjudhara, matatirtha-6,gurjudhara, matatirtha-6, just 1 km from gurjudhara main road ,  5 km from kalanki chowk,kathmandu",18500000.0
"beautiful 5.5 storey 13 bhk house built in 6 anna 1 paisa is for sale near at pranjali school, machh...","balaju,- machhapokhari balaju, near pranjali school. - kumari than,kathmandu",59000000.0
"2.5 storied 4 bhk house on sale at banasthali, dhungedhara. price rs 2 crore 95 lakh only.","banasthali, dhungedhara.,banasthali, dhungedhara.( inside the banasthali catering ),kathmandu",29500000.0
"residential 2.5 storey house for sale in dhapakhel-24, bhandari gaun.","dhapakhel-24, bhandari gaun,dhapakhel-24, bhandari gaun, 5 km from satdobato and 2.7 km from gems school,kathmandu",25000000.0
residential 2.5 storied 5 bhk house is for sale at kalanki.,"kalanki, kathmandu( just behind of baba petrol pump),- 2 minute ring road kalanki chowk - 1 minute walking from tribhuvan highway,kathmandu",33000000.0
5 bhk banglow located at dhapasi height with area of 13 aana is on sale .,"dhapashi height,tokha -4, nearby bhagawati temple.,kathmandu",55000000.0
residential purpose 7 aana 2 paisa land on sale at tarkeswar municipality-01 lolang height.,"lolang height,tarkeswor municipality-01,kathmandu",3500000.0
2.5 storey house built on 8 aana 2 paisa is on sale near kalanki temple.,"kalanki,kalanki,kathmandu",60000000.0
"2.5 and 3 storey houses built on 17 aana, 2 paisa is on rent at gongabu, ganeshthan -17.","ganesthan,gongabu,kathmandu",97000000.0
"2.5 storey house on sale at basundhara, ekata colony.","basundhara,dhapasi,kathmandu",25500000.0
"commercial 5 storey house on sale at lagankhel, tangal.","tangal,lagankhel,lalitpur",70000000.0
residential house located at nainatole for sale,"nainatole, tokha municipality,dhapasi,kathmandu",42000000.0
